"original_path","archived_path","category","reason","replacement","last_pre_archive_commit","archived_utc"
"all_run.sh","archive/code/root-shell/all_run.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"analyze_sim_data.R","archive/code/root-r/analyze_sim_data.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"check-output.R","archive/code/root-r/check-output.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"diagnose.R","archive/code/root-r/diagnose.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"equilibrium-vstar-comparison.R","archive/code/root-r/equilibrium-vstar-comparison.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"generate-social-multiplier.R","archive/code/root-r/generate-social-multiplier.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"local_smoketest.sh","archive/code/root-shell/local_smoketest.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"optimal-incentives.sh","archive/code/root-shell/optimal-incentives.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"postprocess_dist_fit.R","archive/code/root-r/postprocess_dist_fit.R","root-r","Historical root entrypoint outside the supported production workflow.","scripts/structural/ and scripts/structural/render-paper.R","9f05899","2026-08-20"
"postprocess.sh","archive/code/root-shell/postprocess.sh","root-shell","Historical root entrypoint outside the supported production workflow.","scripts/structural/ and scripts/structural/render-paper.R","9f05899","2026-08-20"
"r-batch-submit.sh","archive/code/root-shell/r-batch-submit.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"run_optim_tables.sh","archive/code/policy-v1/run_optim_tables.sh","policy-v1","Legacy dense policy workflow; current workflow is scripts/policy/.","","9f05899","2026-08-20"
"sample.R","archive/code/root-r/sample.R","root-r","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"sbc_run.sh","archive/code/root-shell/sbc_run.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"sbc-batch-submit.sh","archive/code/root-shell/sbc-batch-submit.sh","root-shell","Historical root entrypoint outside the supported production workflow.","","9f05899","2026-08-20"
"scratch/analyse-reduced-form-sms.R","archive/code/scratch/analyse-reduced-form-sms.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/analytical-delta.tex","archive/code/scratch/analytical-delta.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/bal-attrit-results.Rmd","archive/code/scratch/bal-attrit-results.Rmd","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/bal-attrit-results.tex","archive/code/scratch/bal-attrit-results.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/baseline.R","archive/code/scratch/baseline.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/belief-ates.R","archive/code/scratch/belief-ates.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/belief-breakdown.R","archive/code/scratch/belief-breakdown.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/belief-submodel.R","archive/code/scratch/belief-submodel.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/bench-vstar-solver.R","archive/code/scratch/bench-vstar-solver.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/brms-rf.R","archive/code/scratch/brms-rf.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/cal-pref/cal-pref.R","archive/code/scratch/cal-pref/cal-pref.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/cal-pref/pref-cal-gift.tex","archive/code/scratch/cal-pref/pref-cal-gift.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/classify-sob-with-gpt.py","archive/code/scratch/classify-sob-with-gpt.py","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/compare-stan-R.R","archive/code/scratch/compare-stan-R.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/conservative-table-a-attrition-preview.tex","archive/code/scratch/conservative-table-a-attrition-preview.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/conservative-table-a-attrition-regression-preview.tex","archive/code/scratch/conservative-table-a-attrition-regression-preview.tex","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/distance/distance-randomization.R","archive/code/scratch/distance/distance-randomization.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/distance/distance-recreation-attempt.Rmd","archive/code/scratch/distance/distance-recreation-attempt.Rmd","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/endline-analysis.R","archive/code/scratch/endline-analysis.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/expose-stan-functions.R","archive/code/scratch/expose-stan-functions.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
"scratch/extract-stan-optim.R","archive/code/scratch/extract-stan-optim.R","scratch","Historical or exploratory scratch file outside the supported paper and appendix workflows.","","9f05899","2026-08-20"
