pot.cluster.id,clust_classification_cat,clust_randomization_cat,swap_cat,processed_cat,analysis_cat
108,mixed,far,far,close,close
141,mixed,far,far,close,close
149,mixed,far,far,close,close
164,far,far,far,close,close
213,close,close,close,far,far
215,mixed,close,close,far,far
235,far,far,far,close,close
238,mixed,far,far,close,close
408,close,close,close,far,far
587,far,far,far,close,close
631,mixed,close,close,far,far
648,mixed,close,close,far,far
735,close,close,close,far,far
738,far,far,far,close,close
796,close,close,close,far,far
830,mixed,far,far,close,close
835,far,far,far,close,close
910,mixed,close,close,far,far
954,far,far,far,close,close
1014,close,close,close,far,far
1059,mixed,far,far,close,close
1120,far,far,far,close,close
1219,mixed,far,far,close,close
1272,close,close,close,far,far
1347,mixed,far,far,close,close
1370,far,far,far,close,close
