"draw","replicate","mode_csv","model_family","beta_control","beta_ink","beta_calendar","beta_bracelet","dist_beta","mu_control","mu_ink","mu_calendar","mu_bracelet","mu_dist_control","mu_dist_ink","mu_dist_calendar","mu_dist_bracelet","base_mu_rep","u_sd","total_error_sd"
1,1,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0001/mode-exponential-0001-1.csv","gaussian",-1.36344,-0.247571,-0.113940086347079,-0.113949,0.163315,1.31068,-0.254975,0.247851,0.318779,-0.193785,0.353026,-0.10151,0.338936,1.12698,0.244099,1.02936112312492
2,2,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0002/mode-exponential-0002-1.csv","gaussian",-1.49268,-0.305803,-0.006852881730358,-0.00685945,0.190042,1.25952,0.371538,0.0490989,0.173203,-0.206568,0.102844,-0.0232816,0.341009,1.27617,0.238841,1.02812694901019
3,3,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0003/mode-exponential-0003-1.csv","gaussian",-0.977317,-0.320924,0.0280363022820814,0.0280278,0.193811,1.35636,0.514019,-0.0913403,-0.205541,-0.354414,0.277033,0.243619,0.714529,0.768106,0.239891,1.02837137838477
4,4,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0004/mode-exponential-0004-1.csv","gaussian",-1.63255,-0.406334,0.0226409523971048,0.0226289,0.206585,1.84683,-0.266701,-0.142339,-0.213031,-0.386582,0.44355,0.131524,0.486676,1.30763,0.231977,1.02655410404372
5,5,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0005/mode-exponential-0005-1.csv","gaussian",-1.30496,-0.263218,0.0407933051222828,0.0407848,0.154042,1.54767,-0.234273,0.491632,-0.164736,-0.398222,0.556762,-0.04624,0.69104,0.951877,0.244481,1.02945177612213
6,6,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0006/mode-exponential-0006-1.csv","gaussian",-2.4456,-0.297539,-0.0754072784011035,-0.0754153,0.146985,1.60924,0.116867,0.500745,-0.147693,-0.359321,0.245821,0.00922342,0.370471,1.9135,0.219369,1.02377866658814
7,7,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0007/mode-exponential-0007-1.csv","gaussian",-1.03918,-0.229986,-0.0508810119620696,-0.0508901,0.216935,1.60298,-0.296082,-0.0518864,-0.0602197,-0.392047,0.541744,0.197514,0.341806,0.911685,0.242678,1.02902507825806
8,8,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0008/mode-exponential-0008-1.csv","gaussian",-1.17443,-0.0886834,0.140631375811363,0.140622,0.169986,1.9271,-0.337697,-0.427101,-0.635719,-0.494696,0.475977,0.255514,0.828456,0.820855,0.244459,1.02944655163879
9,9,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0009/mode-exponential-0009-1.csv","gaussian",-0.863192,0.0403302,0.138626244292195,0.138619,0.234514,1.36675,0.238197,-0.121398,-0.161334,-0.257394,0.296319,0.16128,0.568787,0.647295,0.252949,1.03149561152775
10,10,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0010/mode-exponential-0010-1.csv","gaussian",-1.47714,-0.330882,-0.0196822491914407,-0.0196987,0.182251,1.62127,0.211762,0.0735304,-0.241674,-0.529788,0.587085,0.128631,0.719164,1.25302,0.240492,1.02851174133502
11,11,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0011/mode-exponential-0011-1.csv","gaussian",-1.22095,-0.407417,-0.0113319383283497,-0.0113387,0.205206,1.43757,-0.161921,0.0139023,-0.217124,-0.380473,0.324294,0.258105,0.663456,1.05917,0.236685,1.02762823492983
12,12,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0012/mode-exponential-0012-1.csv","gaussian",-0.844832,-0.193263,0.104169149895238,0.104165,0.199696,1.54979,-0.144463,0.45261,-0.105272,-0.496084,0.531506,-0.00170419,0.682146,0.699371,0.248882,1.03050582236298
13,13,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0013/mode-exponential-0013-1.csv","gaussian",-2.0304,-0.0926329,0.0153036186310939,0.0152881,0.197796,1.68768,-0.383225,-0.0108456,0.0338046,-0.354429,0.424453,0.0451213,0.287114,1.62275,0.228707,1.02582010696272
14,14,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0014/mode-exponential-0014-1.csv","gaussian",-0.418603,-0.125758,0.056019900503652,0.0560138,0.153255,1.66212,-0.157269,-0.459455,-0.185522,-0.485512,0.496171,0.421858,0.741623,0.242239,0.250191,1.030822747363
15,15,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0015/mode-exponential-0015-1.csv","gaussian",-1.80064,-0.187459,0.125914165770731,0.125908,0.177116,1.68661,-0.311551,-0.0115698,-0.245002,-0.35815,0.513728,0.0581882,0.452413,1.40027,0.226778,1.02539175990643
16,16,"/project/akaring/takeup-data/data/stan_analysis_data/main-core-exponential-cluster-weight-999/exponential-0016/mode-exponential-0016-1.csv","gaussian",-1.01634,0.0268288,0.144395246557832,0.144387,0.190973,1.71482,-0.264821,0.414001,0.340937,-0.517687,0.568225,-0.0217543,0.375971,0.692814,0.242028,1.02887198075562
