outcome_type,day,estimand,assigned_treatment,assigned_dist_group,contrast,estimate,std_error,conf_low,conf_high,p_value
Cumulative take-up,1,far_minus_close,bracelet,far - close,bracelet Far - Close,-0.06117046022624992,0.017573089841268066,-0.09611838217948203,-0.02846519618141363,0
Cumulative take-up,1,far_minus_close,calendar,far - close,calendar Far - Close,-0.0728506112663574,0.015575067947358634,-0.1035213711323209,-0.04330694980259506,0
Cumulative take-up,1,far_minus_close,control,far - close,control Far - Close,-0.07596530680667749,0.01485486451888976,-0.10543280589521808,-0.048538293519075223,0
Cumulative take-up,1,far_minus_close,ink,far - close,ink Far - Close,-0.02890566902927342,0.014991549282132912,-0.060335365105990565,-0.0016111438836016428,0.036
Cumulative take-up,1,level,bracelet,close,NA,0.10189791702476843,0.015922057571057503,0.07250557968292329,0.1343634167888699,0
Cumulative take-up,1,level,calendar,close,NA,0.09946127241074366,0.014684170187139476,0.0722735903807421,0.12930337143029083,0
Cumulative take-up,1,level,control,close,NA,0.11089359081392804,0.013885835628131234,0.083163649070428,0.139247186206217,0
Cumulative take-up,1,level,ink,close,NA,0.06711052442930034,0.01342601585203529,0.04417869515362622,0.09581481057248066,0
Cumulative take-up,1,level,bracelet,far,NA,0.04072745679851851,0.006805039046722821,0.028066936180709996,0.05491411213612925,0
Cumulative take-up,1,level,calendar,far,NA,0.02661066114438626,0.00464250358998567,0.01757059280033339,0.035704775940293414,0
Cumulative take-up,1,level,control,far,NA,0.03492828400725055,0.006004147627096779,0.023783436488241008,0.04703127005460655,0
Cumulative take-up,1,level,ink,far,NA,0.03820485540002692,0.006516101535535299,0.024719932405782734,0.05066554653650581,0
Cumulative take-up,1,signal_minus_no_signal,signal,close,Any Signal - No Signal,-0.02067321088530147,0.014354945152951456,-0.049370708273013944,0.0055873604927067526,0.142
Cumulative take-up,1,signal_minus_no_signal,signal,far,Any Signal - No Signal,0.008696683523454311,0.0061513304092236055,-0.0035005641490025528,0.020663526643453063,0.154
Cumulative take-up,1,signal_minus_no_signal,signal,far - close,Any Signal - No Signal,0.02936989440875578,0.01547812739681351,7.17895340918519e-4,0.059057728065138884,0.042
Cumulative take-up,1,treatment_distance_interaction,bracelet,far - close,(bracelet - Control) Far - Close,0.014794846580427568,0.02252033483179328,-0.027849045900829192,0.059077000687859656,0.458
Cumulative take-up,1,treatment_distance_interaction,calendar,far - close,(calendar - Control) Far - Close,0.003114695540320081,0.021521724499120088,-0.039096461058314255,0.04604672091317521,0.798
Cumulative take-up,1,treatment_distance_interaction,ink,far - close,(ink - Control) Far - Close,0.047059637777404066,0.021147217625050962,0.0036875638985612996,0.08688567020763728,0.038
Cumulative take-up,1,treatment_minus_control,bracelet,close,bracelet - Control,-0.008995673789159608,0.020733167315657178,-0.04985335139437549,0.03236148611815849,0.612
Cumulative take-up,1,treatment_minus_control,calendar,close,calendar - Control,-0.011432318403184372,0.02031518407270094,-0.05153953060787386,0.03043329826013812,0.552
Cumulative take-up,1,treatment_minus_control,ink,close,ink - Control,-0.0437830663846277,0.019577021715522988,-0.07960145597732245,-0.003979870978077398,0.038
Cumulative take-up,1,treatment_minus_control,bracelet,far,bracelet - Control,0.005799172791267959,0.00916976191167415,-0.011214640762447768,0.023019041768255914,0.548
Cumulative take-up,1,treatment_minus_control,calendar,far,calendar - Control,-0.00831762286286429,0.007392902741316063,-0.02240087009352879,0.0060361529156337645,0.294
Cumulative take-up,1,treatment_minus_control,ink,far,ink - Control,0.003276571392776366,0.008871119794602533,-0.01437890819525391,0.021094137378393205,0.702
Cumulative take-up,2,far_minus_close,bracelet,far - close,bracelet Far - Close,-0.09691992569081061,0.02485531149795546,-0.14461559023473716,-0.048346133879606616,0
Cumulative take-up,2,far_minus_close,calendar,far - close,calendar Far - Close,-0.11522090898727284,0.022026372324907974,-0.1572809629243883,-0.07148391006140933,0
Cumulative take-up,2,far_minus_close,control,far - close,control Far - Close,-0.09230508357094022,0.02025130584644775,-0.13074176283055064,-0.05154106410263357,0
Cumulative take-up,2,far_minus_close,ink,far - close,ink Far - Close,-0.04944836889525731,0.020733236850460243,-0.09143095999986235,-0.010909080864454839,0.01
Cumulative take-up,2,level,bracelet,close,NA,0.17826950734151148,0.02138413179367489,0.13884019022239935,0.22195140457495693,0
Cumulative take-up,2,level,calendar,close,NA,0.17380377317701098,0.0196481006916592,0.13663488065909027,0.21278856971192572,0
Cumulative take-up,2,level,control,close,NA,0.16043084849602046,0.017573232537419554,0.12564933813653995,0.1954523559620159,0
Cumulative take-up,2,level,ink,close,NA,0.1118877226805922,0.01708812162428498,0.08128046592200455,0.14728308280282598,0
