"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1,1,"population","control",102,35,0.439553575146795,0.293892957254303,0.321115044540288,30843.7422581837,1.22529131824883,3.12435248609775,102,0,0,102,0.319685661987223,137.295052987029,50194.7696017612,0.813694544287067
"baseline-posterior",1,1,"population","bracelet",83,47,0.687971098988048,0.304987569673312,0.320702688513107,30804.1346370609,1.72277690640746,3.27297399145503,83,0,0,83,0.319685661987223,97.6874318642076,84614.3598017784,1.37342536641133
"baseline-posterior",1,1,"legacy","control",106,29,0.465277777777778,0.319502550170202,0.319502550170202,46.0083672245091,1.25238167879258,3.20573768696429,106,0,0,106,0.319173921561216,0.047322519694049,71.4414380734976,0.776396146866955
"baseline-posterior",1,1,"legacy","bracelet",87,44,0.701388888888889,0.32036563479271,0.32036563479271,46.1326514101502,1.7224732095693,3.25257426446003,87,0,0,87,0.319173921561216,0.171606705335101,127.748256087036,1.38457526482998
"baseline-posterior",2,2,"population","control",102,34,0.433057094074043,0.309585977183067,0.339281240419644,32588.6417047876,1.22961084996145,3.20578151406565,102,0,0,102,0.337874177160669,135.15124015103,52609.1497163627,0.80717002863967
"baseline-posterior",2,2,"population","bracelet",79,49,0.74248323824595,0.32583170162278,0.339467165863262,32606.500215498,1.85658961588445,3.27297399145503,79,0,0,79,0.337874177160669,153.009750861442,100362.338654355,1.53899280804526
"baseline-posterior",2,2,"legacy","control",107,30,0.465277777777778,0.33956944933005,0.33956944933005,48.8980007035273,1.22659011552894,3.0721278373294,107,0,0,107,0.337347181189575,0.320006612228418,77.3810452617733,0.791249582277824
"baseline-posterior",2,2,"legacy","bracelet",81,47,0.763888888888889,0.33738688711339,0.33738688711339,48.5837117443282,1.87537440861668,3.2766433130779,81,0,0,81,0.337347181189575,0.00571765302935745,152.930444670899,1.57388597104
"baseline-posterior",3,3,"population","control",101,34,0.442874692874693,0.296256745131246,0.327502774939869,31457.2965385243,1.24963420956998,3.18966975273969,101,0,0,101,0.325547346833033,187.822780517887,47835.6389667071,0.760326605118863
"baseline-posterior",3,3,"population","bracelet",76,50,0.775257152375796,0.314307934204437,0.32716114455769,31424.4822570552,1.96848392188404,3.2766433130779,76,0,0,76,0.325547346833033,155.008499048745,100706.148803941,1.60235175841809
"baseline-posterior",3,3,"legacy","control",105,30,0.479166666666667,0.324993641222133,0.324993641222133,46.7990843359872,1.27757645550397,3.20578151406565,105,0,0,105,0.324942791108787,0.00732241632193364,68.757564398113,0.734603736095327
"baseline-posterior",3,3,"legacy","bracelet",78,49,0.798611111111111,0.326187839885661,0.326187839885661,46.9710489435352,1.96095417849704,3.22681435575817,78,0,0,78,0.324942791108787,0.179287023869946,154.530587208669,1.64495567678756
"baseline-posterior",4,4,"population","control",101,34,0.442354141506684,0.300987860795911,0.329037192814959,31604.6804442624,1.24736100170387,3.18966975273969,101,0,0,101,0.329021995083838,1.45977246956318,50913.7468581453,0.805477956784536
"baseline-posterior",4,4,"population","bracelet",73,54,0.843137050764169,0.323524043010216,0.330573808516823,31752.2754556579,2.10936661072719,3.33641391132272,73,0,0,73,0.329021995083838,149.05478386502,116615.674898631,1.83633571492357
"baseline-posterior",4,4,"legacy","control",106,29,0.465277777777778,0.329140620678207,0.329140620678207,47.3962493776619,1.25238167879258,3.20573768696429,106,0,0,106,0.328494645054332,0.0930204898380893,73.7081131807304,0.7775732694945
"baseline-posterior",4,4,"legacy","bracelet",74,53,0.854166666666667,0.329690086817307,0.329690086817307,47.4753725016922,2.10821214674667,3.29489158085168,74,0,0,74,0.328494645054332,0.172143613868457,178.236475669266,1.87714667918523
"baseline-posterior",5,5,"population","control",101,34,0.442354141506684,0.295870750750625,0.325791500415,31292.9251978616,1.24736100170387,3.18966975273969,101,0,0,101,0.324554046017929,118.859969747482,48252.5224205305,0.770981333886738
"baseline-posterior",5,5,"population","bracelet",81,48,0.711187690001249,0.310377486723262,0.325978321925601,31310.8697775978,1.78366471380115,3.2766433130779,81,0,0,81,0.324554046017929,136.804549483713,89862.9050843047,1.43501131911384
"baseline-posterior",5,5,"legacy","control",106,29,0.465277777777778,0.325943633578043,0.325943633578043,46.9358832352381,1.25339703308763,3.20573768696429,106,0,0,106,0.323973753224229,0.283662770949157,69.2432181177478,0.737636253383232
"baseline-posterior",5,5,"legacy","bracelet",84,44,0.722222222222222,0.324967056584651,0.324967056584651,46.7952561481897,1.79088254025524,3.2766433130779,84,0,0,84,0.323973753224229,0.143035683900763,135.949052021935,1.4525943782786
"baseline-posterior",6,6,"population","control",102,34,0.434337650439345,0.297735820793142,0.32599114650473,31312.1016040723,1.22553007863124,3.18966975273969,102,0,0,102,0.32525897749694,70.3262975362086,49976.7887893324,0.798042709193826
"baseline-posterior",6,6,"population","bracelet",73,54,0.833204930662558,0.320012088949365,0.327717697757906,31477.9403050424,2.08702443370042,3.28719386956715,73,0,0,73,0.32525897749694,236.164998506305,117285.427219564,1.86297810598453
"baseline-posterior",6,6,"legacy","control",107,29,0.458333333333333,0.325595664106241,0.325595664106241,46.8857756312987,1.22980607934852,3.12922663651524,107,0,0,107,0.324761542498223,0.120113511554614,71.9626689599093,0.767425386388089
"baseline-posterior",6,6,"legacy","bracelet",74,53,0.854166666666667,0.326345154499163,0.326345154499163,46.9937022478795,2.10233317572164,3.29489158085168,74,0,0,74,0.324761542498223,0.228040128135405,178.397719953852,1.89810242032912
"baseline-posterior",7,7,"population","control",102,34,0.436232457418898,0.313521932503739,0.339745321163943,32633.2175884391,1.22255862496573,3.13398607852492,102,0,0,102,0.337384301889858,226.780623314375,53440.2578872319,0.81880154389318
"baseline-posterior",7,7,"population","bracelet",76,52,0.784564610835797,0.324374795288634,0.337539549768803,32421.3488343931,1.95032804626544,3.27297399145503,76,0,0,76,0.337384301889858,14.9118692683696,106391.233757405,1.640758907053
"baseline-posterior",7,7,"legacy","control",106,29,0.465277777777778,0.337337990720764,0.337337990720764,48.57667066379,1.25238167879258,3.20573768696429,106,0,0,106,0.336865524185246,0.0680351811144959,77.1671122858276,0.794281609169127
"baseline-posterior",7,7,"legacy","bracelet",79,49,0.791666666666667,0.33840608571427,0.33840608571427,48.7304763428548,1.93685058280193,3.28719386956715,79,0,0,79,0.336865524185246,0.221840860179341,159.742297444335,1.63903894885441
"baseline-posterior",8,8,"population","control",102,34,0.435639028859368,0.302763529210568,0.328488557534691,31551.9829283222,1.22553093386183,3.18460428668241,102,0,0,102,0.327247430301629,119.212752990126,52034.7372538331,0.824587433570218
"baseline-posterior",8,8,"population","bracelet",75,53,0.803075417482197,0.318334171812207,0.328438414432276,31547.166583049,1.99062668394077,3.27297399145503,75,0,0,75,0.327247430301629,114.39640771694,109535.698468403,1.73606238424055
"baseline-posterior",8,8,"legacy","control",107,29,0.458333333333333,0.328558812104846,0.328558812104846,47.3124689430979,1.22980607934852,3.12922663651524,107,0,0,107,0.326779188839544,0.256265750203589,75.6304074548806,0.799265068430907
"baseline-posterior",8,8,"legacy","bracelet",77,50,0.8125,0.327842771327925,0.327842771327925,47.2093590712212,1.99287221781715,3.25257426446003,77,0,0,77,0.326779188839544,0.153155878326906,166.051033495116,1.75866646743294
"baseline-posterior",9,9,"population","control",101,34,0.442354141506684,0.308021809376121,0.336973680153396,32366.995926094,1.24736100170387,3.18966975273969,101,0,0,101,0.336676553029874,28.5396544686046,51907.6892332112,0.801861398440188
"baseline-posterior",9,9,"population","bracelet",76,52,0.784564610835797,0.325803880267016,0.338395902349532,32503.6032124773,1.95297261899459,3.27297399145503,76,0,0,76,0.336676553029874,165.146940851831,107709.904061285,1.65689175069577
"baseline-posterior",9,9,"legacy","control",106,29,0.465277777777778,0.337105935879117,0.337105935879117,48.5432547665928,1.25238167879258,3.20573768696429,106,0,0,106,0.336128664596031,0.140727064764349,75.1066348960272,0.773605264595022
"baseline-posterior",9,9,"legacy","bracelet",78,49,0.798611111111111,0.337073679260026,0.337073679260026,48.5386098134437,1.96095417849704,3.22681435575817,78,0,0,78,0.336128664596031,0.136082111615238,164.019228705627,1.68957484913586
"baseline-posterior",10,10,"population","control",102,33,0.430339815933036,0.303035031843749,0.329739787102852,31672.1660308031,1.23016588732098,3.18966975273969,102,0,0,102,0.328338554350242,134.591208353671,51459.8785791405,0.812383316775567
"baseline-posterior",10,10,"population","bracelet",80,47,0.708407945696081,0.315304167271342,0.329683413440579,31666.7512277945,1.82479672656402,3.27297399145503,80,0,0,80,0.328338554350242,129.176405345086,95476.681855314,1.50752252999531
"baseline-posterior",10,10,"legacy","control",107,29,0.458333333333333,0.330147541657717,0.330147541657717,47.5412459987113,1.22980607934852,3.12922663651524,107,0,0,107,0.327852036944407,0.330552678716721,75.1286542744942,0.790141830491051
"baseline-posterior",10,10,"legacy","bracelet",83,45,0.736111111111111,0.32922423127174,0.32922423127174,47.4082893031306,1.82718711150469,3.29245138369853,83,0,0,83,0.327852036944407,0.197595983136026,143.983982637928,1.51855281802396
"baseline-posterior",11,11,"population","control",101,34,0.442354141506684,0.286274578106207,0.312894940081744,30054.1847847317,1.24736100170387,3.18966975273969,101,0,0,101,0.312497349788663,38.1893428310432,48448.9825214509,0.806027228295745
