"analysis_id","draw","replicate","estimand","regime","pooling_rho","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","assigned_away_population_share","roundtrip_participant_km","taker_mean_distance_km"
"exponential-cluster-weights",1,1,"population","control",NA,102,34,0.436232457418898,0.344141637597654,0.365675696062698,35123.8819582142,1.22131232850957,3.01991311871783,102,0,0,102,0.365439665743836,22.6711841873184,0.752571523757964,64354.324965416,0.916104960180317
"exponential-cluster-weights",1,1,"population","bracelet",NA,71,57,0.8808041477533,0.363479638430316,0.365665109360301,35122.8650842756,2.39568915255134,3.34212040848236,71,0,0,71,0.365439665743836,21.6543102487194,0.919960021654937,156309.299395169,2.2251786552736
"exponential-cluster-weights",1,1,"legacy","control",NA,107,29,0.458333333333333,0.365777692720612,0.365777692720612,52.6719877517681,1.22481932533172,2.95778462623198,107,0,0,107,0.365037802257478,0.106544226691256,0.729166666666667,94.6273397988312,0.898270065720604
"exponential-cluster-weights",1,1,"legacy","bracelet",NA,71,56,0.895833333333333,0.365741329811699,0.365741329811699,52.6667514928847,2.39582447298972,3.39457797118163,71,0,0,71,0.365037802257478,0.10130796780777,0.930555555555556,234.083921090482,2.22231212724509
"exponential-cluster-weights",1,1,"pooling-000","control",0,102,34,0.436232457418898,0.344141637597654,0.365675696062698,35123.8819582142,1.22131232850957,3.01991311871783,102,0,0,102,0.365439665743836,22.6711841873184,0.752571523757964,64354.324965416,0.916104960180317
"exponential-cluster-weights",1,1,"pooling-000","bracelet",0,71,57,0.8808041477533,0.363479638430316,0.365665109360301,35122.8650842756,2.39568915255134,3.34212040848236,71,0,0,71,0.365439665743836,21.6543102487194,0.919960021654937,156309.299395169,2.2251786552736
"exponential-cluster-weights",1,1,"pooling-050","control",0.5,102,34,0.436232457418898,0.344141637597654,0.365675696062698,35123.8819582142,1.22131232850957,3.01991311871783,102,0,0,102,0.365439665743836,22.6711841873184,0.752571523757964,64354.324965416,0.916104960180317
"exponential-cluster-weights",1,1,"pooling-050","bracelet",0.5,83,48,0.694654978553284,0.348384565496492,0.365835905525549,35139.27039754,1.73517795714878,3.27297399145503,83,0,0,83,0.365439665743836,38.0596235131234,0.809322033898305,100063.504950326,1.42381307036658
"exponential-cluster-weights",1,1,"pooling-100","control",1,102,34,0.436232457418898,0.344141637597654,0.365675696062698,35123.8819582142,1.22131232850957,3.01991311871783,102,0,0,102,0.365439665743836,22.6711841873184,0.752571523757964,64354.324965416,0.916104960180317
"exponential-cluster-weights",1,1,"pooling-100","bracelet",1,95,41,0.536917503019198,0.340755616546161,0.365630259713487,35119.5177059998,1.51613736678868,3.24814829764855,95,0,0,95,0.365439665743836,18.3069319728966,0.590575938033565,81563.895612781,1.16123313958333
"exponential-cluster-weights",2,2,"population","control",NA,102,33,0.43288010660892,0.331612152803874,0.356809913072241,34272.3057704149,1.23999436261745,3.18966975273969,102,0,0,102,0.356214934220019,57.1489087136215,0.748875609045101,59491.9781036649,0.867930779186449
"exponential-cluster-weights",2,2,"population","bracelet",NA,71,57,0.881001957273144,0.353742243633142,0.357008683285216,34291.3980469115,2.27875419036187,3.33255225362183,71,0,0,71,0.356214934220019,76.241185210245,0.938116853371091,141282.847918026,2.06003336062221
"exponential-cluster-weights",2,2,"legacy","control",NA,106,29,0.465277777777778,0.355966715443466,0.355966715443466,51.2592070238591,1.25232915955597,3.12922663651524,106,0,0,106,0.355742444917275,0.0322949557714978,0.736111111111111,87.5143803259102,0.853645475681821
"exponential-cluster-weights",2,2,"legacy","bracelet",NA,71,57,0.902777777777778,0.355915699753713,0.355915699753713,51.2518607645347,2.28809334185475,3.32829369418776,71,0,0,71,0.355742444917275,0.0249486964471615,0.944444444444444,214.329139884265,2.09094008185335
"exponential-cluster-weights",2,2,"pooling-000","control",0,102,33,0.43288010660892,0.331612152803874,0.356809913072241,34272.3057704149,1.23999436261745,3.18966975273969,102,0,0,102,0.356214934220019,57.1489087136215,0.748875609045101,59491.9781036649,0.867930779186449
"exponential-cluster-weights",2,2,"pooling-000","bracelet",0,71,57,0.881001957273144,0.353742243633142,0.357008683285216,34291.3980469115,2.27875419036187,3.33255225362183,71,0,0,71,0.356214934220019,76.241185210245,0.938116853371091,141282.847918026,2.06003336062221
"exponential-cluster-weights",2,2,"pooling-050","control",0.5,102,33,0.43288010660892,0.331612152803874,0.356809913072241,34272.3057704149,1.23999436261745,3.18966975273969,102,0,0,102,0.356214934220019,57.1489087136215,0.748875609045101,59491.9781036649,0.867930779186449
"exponential-cluster-weights",2,2,"pooling-050","bracelet",0.5,85,44,0.647295215091825,0.336762200260586,0.357403936096144,34329.3628699068,1.68776463860671,3.2766433130779,85,0,0,85,0.356214934220019,114.20600820554,0.793705492858035,90048.6694111203,1.31154006196336
"exponential-cluster-weights",2,2,"pooling-100","control",1,102,33,0.43288010660892,0.331612152803874,0.356809913072241,34272.3057704149,1.23999436261745,3.18966975273969,102,0,0,102,0.356214934220019,57.1489087136215,0.748875609045101,59491.9781036649,0.867930779186449
"exponential-cluster-weights",2,2,"pooling-100","bracelet",1,95,38,0.518104776579353,0.327463786647027,0.35631658839201,34224.9209482294,1.46332964706607,3.25357878179856,95,0,0,95,0.356214934220019,9.76408652807731,0.635208012326656,71262.2883700608,1.04108769860793
"exponential-cluster-weights",3,3,"population","control",NA,101,34,0.442354141506684,0.295816482735044,0.322138159752347,30942.0145205324,1.24736100170387,3.18966975273969,101,0,0,101,0.321930196897962,19.9752480894058,0.748875609045101,50960.9162917327,0.823490601394363
"exponential-cluster-weights",3,3,"population","bracelet",NA,73,54,0.837057010785824,0.314393899072496,0.322173232274491,30945.3833064294,2.11145962138848,3.3146420580158,73,0,0,73,0.321930196897962,23.3440339863519,0.933588056469412,115264.497368443,1.86238600160586
"exponential-cluster-weights",3,3,"legacy","control",NA,106,29,0.465277777777778,0.322059865630442,0.322059865630442,46.3766206507837,1.25174403008284,3.12922663651524,106,0,0,106,0.321434201619992,0.0900956175048435,0.743055555555556,74.4649658161047,0.802828718125309
"exponential-cluster-weights",3,3,"legacy","bracelet",NA,74,53,0.854166666666667,0.322113530720613,0.322113530720613,46.3843484237683,2.11029650885685,3.28719386956715,74,0,0,74,0.321434201619992,0.097823390489431,0.930555555555556,174.844573346674,1.88473676238039
"exponential-cluster-weights",3,3,"pooling-000","control",0,101,34,0.442354141506684,0.295816482735044,0.322138159752347,30942.0145205324,1.24736100170387,3.18966975273969,101,0,0,101,0.321930196897962,19.9752480894058,0.748875609045101,50960.9162917327,0.823490601394363
"exponential-cluster-weights",3,3,"pooling-000","bracelet",0,73,54,0.837057010785824,0.314393899072496,0.322173232274491,30945.3833064294,2.11145962138848,3.3146420580158,73,0,0,73,0.321930196897962,23.3440339863519,0.933588056469412,115264.497368443,1.86238600160586
"exponential-cluster-weights",3,3,"pooling-050","control",0.5,101,34,0.442354141506684,0.295816482735044,0.322138159752347,30942.0145205324,1.24736100170387,3.18966975273969,101,0,0,101,0.321930196897962,19.9752480894058,0.748875609045101,50960.9162917327,0.823490601394363
"exponential-cluster-weights",3,3,"pooling-050","bracelet",0.5,88,44,0.619476949985425,0.301145641221405,0.32206422857678,30934.9132832569,1.58318459516741,3.24814829764855,88,0,0,88,0.321930196897962,12.8740108138372,0.788083538083538,74048.27995154,1.19683994704484
"exponential-cluster-weights",3,3,"pooling-100","control",1,101,34,0.442354141506684,0.295816482735044,0.322138159752347,30942.0145205324,1.24736100170387,3.18966975273969,101,0,0,101,0.321930196897962,19.9752480894058,0.748875609045101,50960.9162917327,0.823490601394363
"exponential-cluster-weights",3,3,"pooling-100","bracelet",1,98,38,0.493680506392371,0.294823013736735,0.32237089018439,30964.368743991,1.38696768672677,3.25257426446003,98,0,0,98,0.321930196897962,42.3294715479788,0.648659059676009,58535.0246032769,0.945199708207135
"exponential-cluster-weights",4,4,"population","control",NA,101,34,0.442354141506684,0.319542890342871,0.350642666444746,33679.9293973507,1.24736100170387,3.18966975273969,101,0,0,101,0.34977778897607,83.0732106212672,0.748875609045101,53009.8006953284,0.786964249092192
"exponential-cluster-weights",4,4,"population","bracelet",NA,77,50,0.76504393453546,0.336648562672071,0.3499095900556,33609.5159440205,1.93508185811344,3.27297399145503,77,0,0,77,0.34977778897607,12.6597572909886,0.893162037229834,109878.400448786,1.6346322962788
"exponential-cluster-weights",4,4,"legacy","control",NA,106,29,0.465277777777778,0.349524475333607,0.349524475333607,50.3315244480395,1.2617218799711,3.20573768696429,106,0,0,106,0.349183755774807,0.0490636164672438,0.729166666666667,76.7413237854539,0.76235842870882
"exponential-cluster-weights",4,4,"legacy","bracelet",NA,79,48,0.784722222222222,0.349368881396845,0.349368881396845,50.3091189211457,1.93124960269263,3.22681435575817,79,0,0,79,0.349183755774807,0.0266580895734592,0.902777777777778,166.975077892911,1.65949117648658
"exponential-cluster-weights",4,4,"pooling-000","control",0,101,34,0.442354141506684,0.319542890342871,0.350642666444746,33679.9293973507,1.24736100170387,3.18966975273969,101,0,0,101,0.34977778897607,83.0732106212672,0.748875609045101,53009.8006953284,0.786964249092192
"exponential-cluster-weights",4,4,"pooling-000","bracelet",0,77,50,0.76504393453546,0.336648562672071,0.3499095900556,33609.5159440205,1.93508185811344,3.27297399145503,77,0,0,77,0.34977778897607,12.6597572909886,0.893162037229834,109878.400448786,1.6346322962788
"exponential-cluster-weights",4,4,"pooling-050","control",0.5,101,34,0.442354141506684,0.319542890342871,0.350642666444746,33679.9293973507,1.24736100170387,3.18966975273969,101,0,0,101,0.34977778897607,83.0732106212672,0.748875609045101,53009.8006953284,0.786964249092192
