"scenario","label","cap_m","population_weighted","site_cost_unit","signal_cost_unit","travel_cost_unit","pooling_rho","regime","analysis_population","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","attenuated_population_share"
"legacy-3500","Legacy village-weighted benchmark",3500,FALSE,1,0,0,NA,"control",144,109,28,0.4375,0.339512309584572,0.339512309584572,48.8897725801784,1.2517333441796,3.20573768696429,109,0,0,109,0.339241995929583,0.0389251663184993,0.638888888888889
"legacy-3500","Legacy village-weighted benchmark",3500,FALSE,1,0,0,NA,"bracelet",144,79,48,0.784722222222222,0.339820005794731,0.339820005794731,48.9340808344413,1.97712953392959,3.30904136595917,79,0,0,79,0.339241995929583,0.083233420581351,0.854166666666667
"population-3500","Population weighted, 3.5 km cap",3500,TRUE,1,0,0,NA,"control",96052,104,33,0.430339815933036,0.315052999551252,0.340404313510711,32696.5151213308,1.23984619216133,3.18421585683802,104,0,0,104,0.339806853467516,57.3872320689989,0.670834547953192
"population-3500","Population weighted, 3.5 km cap",3500,TRUE,1,0,0,NA,"bracelet",96052,78,54,0.790634239786782,0.331855887958272,0.34067036243425,32722.0696525346,1.9640821306621,3.30904136595917,78,0,0,78,0.339806853467516,82.9417632727564,0.854537125723566
"population-2500","Population weighted, 2.5 km cap",2500,TRUE,1,0,0,NA,"control",96052,121,22,0.278661558322575,0.33562294516816,0.339841385917507,32642.4448001484,1.17709179680698,2.2529542849656,121,0,0,121,0.339806853467516,3.31691088653679,0.7303127472619
"population-2500","Population weighted, 2.5 km cap",2500,TRUE,1,0,0,NA,"bracelet",96052,121,22,0.279775538250115,0.361898640341879,0.363701090703563,34934.2171642587,1.63864630112834,2.43102773713635,121,0,0,121,0.339806853467516,2295.08927499682,0.732728105609462
"cost-site-signal","Site and signal costs",3500,TRUE,100,0.2,0,NA,"control",96052,104,33,0.430339815933036,0.315052999551252,0.340404313510711,32696.5151213308,1.23984619216133,3.18421585683802,10400,0,0,10400,0.339806853467516,57.3872320689989,0.670834547953192
"cost-site-signal","Site and signal costs",3500,TRUE,100,0.2,0,NA,"bracelet",96052,78,53,0.788708199725149,0.332197263920945,0.339806871473974,32639.1296188181,1.97695066967975,3.29489158085168,7800,6527.82592376363,0,14327.8259237636,0.339806853467516,0.00172955629022908,0.847384749927123
"cost-travel-low","Travel cost: $0.10/round-trip km",3500,TRUE,100,0.2,0.1,NA,"control",96052,105,31,0.423499770957398,0.318432270983677,0.339821409247484,32640.5260010393,1.25300047230348,3.20573768696429,10500,0,5119.87991809891,15619.8799180989,0.339806853467516,1.39811177747106,0.647951109815517
"cost-travel-low","Travel cost: $0.10/round-trip km",3500,TRUE,100,0.2,0.1,NA,"bracelet",96052,79,50,0.755684420938658,0.337505240917968,0.344594303205903,33098.9720115334,1.92782143647011,3.33255225362183,7900,6619.79440230668,10737.5340721095,25257.3284744162,0.339806853467516,459.844122271559,0.846947486777995
"cost-travel-high","Travel cost: $0.25/round-trip km",3500,TRUE,100,0.2,0.25,NA,"control",96052,111,27,0.389049681422563,0.327851574570498,0.339829820118588,32641.3338820306,1.27683452377094,3.34694893020995,11100,0,11953.6651224323,23053.6651224323,0.339806853467516,2.20599276875873,0.647909465706076
"cost-travel-high","Travel cost: $0.25/round-trip km",3500,TRUE,100,0.2,0.25,NA,"bracelet",96052,133,10,0.115406238287594,0.437900687470397,0.443570967612619,42605.8785811272,0.76288278649181,1.25629735621305,13300,8521.17571622545,14462.0049610984,36283.1806773239,0.339806853467516,9966.7506918654,0.529952525715238
"pooling-rho-0","Consolidation: no attenuation",3500,TRUE,1,0,0,0,"control",96052,104,33,0.430339815933036,0.315052999551252,0.340404313510711,32696.5151213308,1.23984619216133,3.18421585683802,104,0,0,104,0.339806853467516,57.3872320689989,0.670834547953192
"pooling-rho-0","Consolidation: no attenuation",3500,TRUE,1,0,0,0,"bracelet",96052,78,54,0.790634239786782,0.331855887958272,0.34067036243425,32722.0696525346,1.9640821306621,3.30904136595917,78,0,0,78,0.339806853467516,82.9417632727564,0.854537125723566
"pooling-rho-50","Consolidation: 50% attenuation",3500,TRUE,1,0,0,0.5,"control",96052,104,33,0.430339815933036,0.315052999551252,0.340404313510711,32696.5151213308,1.23984619216133,3.18421585683802,104,0,0,104,0.339806853467516,57.3872320689989,0.670834547953192
"pooling-rho-50","Consolidation: 50% attenuation",3500,TRUE,1,0,0,0.5,"bracelet",96052,91,42,0.579769291633698,0.319437722169345,0.339938031461043,32651.7277978961,1.54950118775674,3.27297399145503,91,0,0,91,0.339806853467516,12.5999086342563,0.729937950276933
"pooling-rho-100","Consolidation: Control observability",3500,TRUE,1,0,0,1,"control",96052,104,33,0.430339815933036,0.315052999551252,0.340404313510711,32696.5151213308,1.23984619216133,3.18421585683802,104,0,0,104,0.339806853467516,57.3872320689989,0.670834547953192
"pooling-rho-100","Consolidation: Control observability",3500,TRUE,1,0,0,1,"bracelet",96052,100,37,0.467309374089035,0.312490933523308,0.341856245132097,32835.9760574281,1.3490808116321,3.20578151406565,100,0,0,100,0.339806853467516,196.848168166292,0.610034148169741
