"outcome","distance_specification","contrast","estimate","std_error","conf_low","conf_high","fisher_p","studentized_p","romano_wolf_p","mcse_studentized"
"Administrative take-up","Original assigned Close/Far","Any Signal - No Signal",0.123569502770411,0.0390927531576426,0.0469477065814319,0.200191298959391,0.00595,0.0027,0.00569,0.000164094789679624
"Administrative take-up","Original assigned Close/Far","Bracelet - Calendar",0.0746489572930473,0.0489636927288256,-0.021319880455451,0.170617795041546,0.23727,0.14473,0.14473,0.0011125791077492
"Administrative take-up","Final realized Close/Far","Any Signal - No Signal",0.0677462410841226,0.0418057834179061,-0.0141930944149733,0.149685576583219,0.13382,0.11783,0.24934,0.00101953955833013
"Administrative take-up","Final realized Close/Far","Bracelet - Calendar",0.0771900167261071,0.0523043281746106,-0.0253264664961296,0.179706499948344,0.22052,0.15817,0.24934,0.00115391616289919
"Administrative take-up","Realized distance (per km)","Any Signal - No Signal",0.0519206082934496,0.0282101453003,-0.00337127649513851,0.107212493082038,0.09557,0.08523,0.20066,0.000882982712741308
"Administrative take-up","Realized distance (per km)","Bracelet - Calendar",0.035797869578714,0.0418678843712908,-0.046263183789016,0.117858922946444,0.41051,0.42248,0.42248,0.00156202000499353
"Definite peer classification","Original assigned Close/Far","Any Signal - No Signal",0.135745058029527,0.0574191604030156,0.0232035036396163,0.248286612419438,0.02027,0.02454,0.04131,0.000489262592070966
"Definite peer classification","Original assigned Close/Far","Bracelet - Calendar",0.242355800991638,0.0650582106678175,0.114841708082716,0.36986989390056,0.00258,0.00069,0.00294,8.30375758316679e-05
"Definite peer classification","Final realized Close/Far","Any Signal - No Signal",0.13232749504503,0.053575068803351,0.0273203601904623,0.237334629899598,0.02275,0.01857,0.12121,0.0004269093006717
"Definite peer classification","Final realized Close/Far","Bracelet - Calendar",0.147536957470867,0.0672425417023594,0.0157415757342422,0.279332339207491,0.06792,0.0377,0.1558,0.000602318105323092
"Definite peer classification","Realized distance (per km)","Any Signal - No Signal",0.118571131976199,0.0401360391719102,0.0399044951992554,0.197237768753143,0.00727,0.00642,0.04681,0.000252562538789901
"Definite peer classification","Realized distance (per km)","Bracelet - Calendar",0.137980868274682,0.0495950894103731,0.040774493030351,0.235187243519014,0.02663,0.01214,0.06555,0.000346303629781728
"Correct classification","Original assigned Close/Far","Any Signal - No Signal",0.123581316855724,0.0445697949735804,0.0362245187075059,0.210938115003941,0.00833,0.00767,0.0279,0.000275883509837032
"Correct classification","Original assigned Close/Far","Bracelet - Calendar",0.155860834316678,0.0605672285453713,0.0371490663677502,0.274572602265606,0.01705,0.01445,0.03792,0.000377375111791968
"Correct classification","Final realized Close/Far","Any Signal - No Signal",0.100451455554339,0.04405353571487,0.014106525553194,0.186796385555484,0.03096,0.02886,0.1558,0.000529406274991145
"Correct classification","Final realized Close/Far","Bracelet - Calendar",0.0762018317077342,0.0602803849787399,-0.0419477228505959,0.194351386266064,0.24244,0.22544,0.455,0.00132142652614514
"Correct classification","Realized distance (per km)","Any Signal - No Signal",0.0769688727789824,0.0324268601623351,0.0134122268608056,0.140525518697159,0.02435,0.02598,0.13931,0.000503041147422356
"Correct classification","Realized distance (per km)","Bracelet - Calendar",0.0730446473326374,0.0500975846524699,-0.0251466185862037,0.171235913251478,0.12323,0.16803,0.41559,0.00118235324290163
"Perceived own observability","Original assigned Close/Far","Any Signal - No Signal",0.119999793934093,0.0739141720772578,-0.0248719833373324,0.264871571205518,0.1105,0.1212,0.1212,0.00103203953412648
"Perceived own observability","Original assigned Close/Far","Bracelet - Calendar",0.287261502090935,0.0917025099168779,0.107524582653854,0.466998421528015,0.00545,0.00413,0.0139,0.000202803922545892
"Perceived own observability","Final realized Close/Far","Any Signal - No Signal",0.0853303331449659,0.0725204820327103,-0.0568098116391463,0.227470477929078,0.2562,0.26209,0.455,0.00139067908555497
"Perceived own observability","Final realized Close/Far","Bracelet - Calendar",0.122755752077202,0.0945006091382584,-0.0624654418337847,0.307976945988188,0.24027,0.21813,0.455,0.00130594526340119
"Perceived own observability","Realized distance (per km)","Any Signal - No Signal",0.0954148371011643,0.0525660020767912,-0.00761452696934647,0.198444201171675,0.0792,0.08894,0.27044,0.000900164853790682
"Perceived own observability","Realized distance (per km)","Bracelet - Calendar",0.164958191089876,0.0730149728895424,0.0218488442263729,0.308067537953379,0.02825,0.0391,0.1558,0.000612953424005446
