arm,distance_km,estimate,std_error,conf_low,conf_high,p_value
control,0.4,-0.14618811094089662,0.12866238174655742,-0.41142760005739365,0.09183214409547616,0.24175824175824176
control,0.45,-0.1419121836546161,0.11846589720907597,-0.38497674612392696,0.07808451413312878,0.21978021978021978
control,0.5,-0.13695319377115867,0.10690368875854853,-0.3503293710177495,0.06350847839519913,0.1938061938061938
control,0.55,-0.13131114129139057,0.09421891630540395,-0.3212180351113784,0.048034800041379944,0.15984015984015984
control,0.6000000000000001,-0.12498602621460508,0.08087301836627214,-0.2877359138758078,0.03154277835152079,0.12187812187812187
control,0.65,-0.11797784854129215,0.06780364865906963,-0.2560622999105845,0.015715773056419212,0.07592407592407592
control,0.7000000000000001,-0.11028660827186651,0.05697754126903813,-0.22671765386082077,0.0017262239860722382,0.055944055944055944
control,0.75,-0.10199814053584083,0.05200181068008967,-0.20412276934929016,6.42980168006777e-4,0.055944055944055944
control,0.8,-0.09472889080693815,0.05502244191268381,-0.20364967654607904,0.014563331259215747,0.07792207792207792
control,0.8500000000000001,-0.08909191094802632,0.06289415763983346,-0.20933550744698357,0.047321618561024896,0.16783216783216784
control,0.9,-0.08508720095979228,0.07229189859647067,-0.2271077167462089,0.07642842715304628,0.23576423576423577
control,0.9500000000000001,-0.0827147608395351,0.08132644182203419,-0.23063713633909946,0.09399105719323354,0.28771228771228774
control,1,-0.08197459059014084,0.08906378650264837,-0.24257963079056272,0.1150008488910689,0.3196803196803197
control,1.05,-0.08286669021003114,0.09503772278222689,-0.2528135899360894,0.12769349535012822,0.34165834165834164
control,1.1,-0.08539105969914607,0.09900629546753802,-0.26291708253212775,0.1333173821915386,0.34765234765234765
control,1.15,-0.08954769905816633,0.10084291627159218,-0.2689646155633893,0.1333453049315488,0.33966033966033965
control,1.2000000000000002,-0.0953366082861062,0.10048826157137719,-0.27432420300900207,0.12771601769189433,0.3156843156843157
control,1.25,-0.10275778738460943,0.09793107615329351,-0.27362351189836287,0.10958494960693518,0.27972027972027974
control,1.3,-0.11181123635091646,0.09320646387852465,-0.27460921720637715,0.09088215810500615,0.22577422577422576
control,1.35,-0.12249695518863449,0.0864115307445881,-0.2738170849540225,0.07183254704725917,0.15384615384615385
control,1.4,-0.13481494389418802,0.07775031254475694,-0.27243868532246585,0.0340335187697524,0.10789210789210789
control,1.4500000000000002,-0.14876520247046537,0.0676453284817863,-0.26906930145257996,-1.4494349813428742e-4,0.05194805194805195
control,1.5,-0.16426026681530387,0.05710972986886904,-0.2676665474298144,-0.03836955941063918,0.013986013986013986
control,1.5500000000000003,-0.1797435987769599,0.049306431660014874,-0.2702833966639926,-0.06966665828064014,0.005994005994005994
control,1.6,-0.19464185239058496,0.04603902684830592,-0.2780851298991902,-0.09687839911625326,0.001998001998001998
control,1.65,-0.2089550276571127,0.047650787576883305,-0.2954125494421762,-0.10447541171984134,0.001998001998001998
control,1.7000000000000002,-0.22268312457685518,0.0531979876361569,-0.31853587643277126,-0.11029191044442872,0.001998001998001998
control,1.75,-0.23582614314824185,0.06120436289622584,-0.34694758706248396,-0.10920841287189716,0.001998001998001998
control,1.8000000000000003,-0.24838408337364531,0.07048936874909228,-0.37818119439299835,-0.10270497277747333,0.001998001998001998
control,1.85,-0.2603569452509757,0.08031735959904981,-0.4105743031855967,-0.09394794512001968,0.001998001998001998
control,1.9,-0.27174472878143807,0.09026122471804889,-0.43858155840693525,-0.08896491768381548,0.001998001998001998
control,1.9500000000000002,-0.28254743396432663,0.10007161273708613,-0.46975810116299194,-0.0823958470514494,0.003996003996003996
control,2,-0.2927650608005429,0.10959814111956855,-0.5028733815864396,-0.07525100663017514,0.003996003996003996
calendar,0.4,-0.20810075232513414,0.15620020354168954,-0.5305069243016685,0.06222273092895115,0.15584415584415584
calendar,0.45,-0.20888216240228014,0.1459964459728782,-0.5115761892349219,0.045796369468818,0.11588411588411589
calendar,0.5,-0.20978839967103374,0.1342368530379432,-0.4935116038159246,0.02405515044819121,0.08391608391608392
calendar,0.55,-0.21081946413192848,0.12098258224421363,-0.463100953337645,-0.0012152485611570596,0.04795204795204795
calendar,0.6000000000000001,-0.21197535578468768,0.10634118904544698,-0.4357403995333691,-0.03064766776025181,0.017982017982017984
calendar,0.65,-0.2132560746291811,0.09051745639061953,-0.40288362971569014,-0.06028958429352621,0.005994005994005994
calendar,0.7000000000000001,-0.21466162066614905,0.0739440018874704,-0.3711246204644459,-0.09124524700375719,0.003996003996003996
calendar,0.75,-0.21614659497956445,0.057748848600326017,-0.34261185348430295,-0.11732055627465093,0.001998001998001998
calendar,0.8,-0.21685604606744247,0.04555373245918277,-0.3133248972095874,-0.13535973297935874,0.001998001998001998
calendar,0.8500000000000001,-0.21646572568759403,0.03961637216388628,-0.2954974391860978,-0.14343635690446885,0.001998001998001998
calendar,0.9,-0.21497563384016555,0.04010494981849314,-0.2932838030226118,-0.1403545296307055,0.001998001998001998
calendar,0.9500000000000001,-0.21238577052357693,0.044802933699305235,-0.3027031555461608,-0.12585898647184493,0.001998001998001998
calendar,1,-0.2086961357397162,0.05105125448936157,-0.3111701749547572,-0.10721902013181155,0.001998001998001998
calendar,1.05,-0.20390672948746066,0.057184369082605865,-0.317808915856229,-0.08863549238511499,0.001998001998001998
calendar,1.1,-0.19801755176681202,0.06235707747961707,-0.3212835925853069,-0.07191238045756299,0.003996003996003996
calendar,1.15,-0.1910286025783874,0.06614909972347317,-0.3197199453359452,-0.05614273142657652,0.007992007992007992
calendar,1.2000000000000002,-0.18293988192126495,0.06834571288938232,-0.31630460769246244,-0.04476215242159008,0.017982017982017984
calendar,1.25,-0.17375138979626242,0.06883799659685735,-0.30588970323210046,-0.033844429769787486,0.025974025974025976
calendar,1.3,-0.1634631262025038,0.06757991287749675,-0.29026813115633154,-0.022722822600477956,0.03396603396603397
calendar,1.35,-0.15207509114154927,0.06457381986496752,-0.2727276372544529,-0.01703565556100566,0.03396603396603397
calendar,1.4,-0.13958728461089995,0.059876235787363764,-0.2526890017991163,-0.013857238977685133,0.03796203796203796
calendar,1.4500000000000002,-0.12599970661320292,0.05363086591245469,-0.22649075484603756,-0.015115678911244317,0.03396603396603397
calendar,1.5,-0.11137735165442271,0.046243039086668894,-0.19746992412239545,-0.017867201648142025,0.03396603396603397
calendar,1.5500000000000003,-0.09687688205637292,0.03969850154806256,-0.17088892114459336,-0.013767056439674812,0.027972027972027972
calendar,1.6,-0.08292435077047844,0.03502670004924949,-0.14903653982926243,-0.01114621946655022,0.03196803196803197
calendar,1.65,-0.06951975779755112,0.03269432963359413,-0.1311625465477722,-0.0016586720893318183,0.04795204795204795
calendar,1.7000000000000002,-0.05666310313701128,0.032875455193675164,-0.1215340130168972,0.007946524516843021,0.0939060939060939
calendar,1.75,-0.04435438678819194,0.03524268109295783,-0.11445943084408546,0.022560399171533397,0.1938061938061938
