specification,estimand,estimate,std_error,conf_low,conf_high,p_value
Original assignment,Calendar distance response,-0.19293467560330144,0.02333402942102652,-0.2368032332801944,-0.1474828051064439,0.001998001998001998
Original assignment,Bracelet distance response,-0.11828571831023799,0.04001775048057018,-0.19615499187235227,-0.04240325688124823,0.007992007992007992
Original assignment,Bracelet minus Calendar,0.07464895729306345,0.04656908001316138,-0.015205150805437759,0.16758111286917585,0.11988011988011989
Original assignment,Bracelet relative distance response,0.613086880004135,0.23027114224174935,0.20021500436763387,1.0831674883644768,0.007992007992007992
Original assignment,Bracelet attenuation relative to Calendar,0.386913119995865,0.23027114224174935,-0.08316748836447681,0.7997849956323659,0.11988011988011989
Linear,Calendar distance response,-0.13410504559960065,0.019314618907536222,-0.17218403147024008,-0.09902088538237215,0.001998001998001998
Linear,Bracelet distance response,-0.09830717602085827,0.035620499631528656,-0.1626682657999675,-0.02013735499810673,0.013986013986013986
Linear,Bracelet minus Calendar,0.03579786957874238,0.0403330237340394,-0.04025566287602271,0.12492373074392368,0.36363636363636365
Linear,Bracelet relative distance response,0.7330609790356092,0.2935992349202816,0.13541727404242468,1.3416863100506646,0.013986013986013986
Linear,Bracelet attenuation relative to Calendar,0.2669390209643908,0.2935992349202816,-0.3416863100506648,0.8645827259575753,0.36363636363636365
"Spline, 0.5--2.0 km",Calendar distance response,-0.14317600564341468,0.01990181611945162,-0.18147307050412023,-0.10505006567707735,0.001998001998001998
"Spline, 0.5--2.0 km",Bracelet distance response,-0.08009873160098162,0.03165082677534468,-0.143339292108,-0.017998676407984224,0.013986013986013986
"Spline, 0.5--2.0 km",Bracelet minus Calendar,0.06307727404243306,0.038110724067542366,-0.01573445055608913,0.13604023902025536,0.11188811188811189
"Spline, 0.5--2.0 km",Bracelet relative distance response,0.5594424236171986,0.24950652938602416,0.11904530588265366,1.1332231539850695,0.013986013986013986
"Spline, 0.5--2.0 km",Bracelet attenuation relative to Calendar,0.44055757638280135,0.24950652938602416,-0.1332231539850695,0.8809546941173463,0.11188811188811189
