specification,estimand,estimate,std_error,conf_low,conf_high,p_value
Original assignment,No Signal distance effect,-0.188219347879251,0.022738061950923368,-0.23172492551539797,-0.14154139400181745,0.001998001998001998
Original assignment,Any Signal distance effect,-0.06661229616792419,0.02948827420467916,-0.12325738086316694,-0.004688651457480569,0.029970029970029972
Original assignment,Any Signal minus No Signal,0.1216070517113268,0.03637168806107627,0.05229198307247764,0.19280317482950424,0.003996003996003996
Original assignment,Relative distance response,0.3539078044763932,0.164876693782158,0.027486613812196248,0.6821351814157501,0.029970029970029972
Original assignment,Distance-response attenuation,0.6460921955236067,0.164876693782158,0.31786481858424975,0.9725133861878037,0.003996003996003996
Linear,No Signal slope,-0.1406028250753454,0.017639581411999266,-0.17530110863240234,-0.10354460054824391,0.001998001998001998
Linear,Any Signal slope,-0.08551105198788754,0.018145775398167377,-0.11985595981232201,-0.05024458226915172,0.001998001998001998
Linear,Any Signal minus No Signal slope,0.05509177308745787,0.025323845072261462,0.008056371782240692,0.10419194449434578,0.02197802197802198
Linear,Relative distance response,0.6081744939482147,0.15611306676172107,0.33154268486068905,0.9284637748171335,0.001998001998001998
Linear,Distance-response attenuation,0.39182550605178534,0.15611306676172107,0.07153622518286637,0.6684573151393108,0.02197802197802198
"Spline, 0.5--2.0 km",No Signal average slope,-0.14161005513080369,0.020313345507643465,-0.18049194220523299,-0.0975335341486805,0.001998001998001998
"Spline, 0.5--2.0 km",Any Signal average slope,-0.07880044584589113,0.024879250406536692,-0.12726467632598615,-0.03096547557863118,0.003996003996003996
"Spline, 0.5--2.0 km",Any Signal minus No Signal slope,0.06280960928491255,0.03198514090016574,0.0033789354720998484,0.1264387723846344,0.04195804195804196
"Spline, 0.5--2.0 km",Relative distance response,0.5564608090372114,0.2010608426321459,0.20673270094834317,0.9725139097957608,0.003996003996003996
"Spline, 0.5--2.0 km",Distance-response attenuation,0.4435391909627886,0.2010608426321459,0.027486090204238915,0.7932672990516568,0.04195804195804196
