"artifact","workflow_owner","default_contract","source_path","deposit_path","sha256","full_make_target","provenance_note"
"timeline-tikz.tex","manual_or_static","frozen","./replication/paper-artifacts/timeline-tikz.tex","replication/paper-artifacts/timeline-tikz.tex","e52bb6d0a466fea0cad176dd939b02551c252f094dd19254eeb9e95c5ea36f4c","paper-assets","Reconstructed from the manuscript design description; review visually."
"rf-tables/main-specs/rf_discrete_fob_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_discrete_fob_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_discrete_dist_covs_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_discrete_dist_covs_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"tables/stacked-sample-balance-table.tex","balance","generated","presentations/tables/stacked-sample-balance-table.tex","","","balance","Regenerated in the isolated Make/targets build."
"tables/stacked-sample-dist-balance-table.tex","balance","generated","presentations/tables/stacked-sample-dist-balance-table.tex","","","balance","Regenerated in the isolated Make/targets build."
"tables/implementation-balance-table.tex","balance","generated","presentations/tables/implementation-balance-table.tex","","","balance","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_attrition_cto_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_attrition_cto_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/know_table_attrition_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/know_table_attrition_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"tables/know-attrition-backup-dworm-table.tex","balance","frozen","presentations/tables/know-attrition-backup-dworm-table.tex","replication/paper-artifacts/tables/know-attrition-backup-dworm-table.tex","86d45f8cb3e738ec022d9a45c8d06bd5a84be02a91c9b61eca06bca5c8d486b2","auxiliary-paper","Frozen current paper-approved artifact."
"rf-tables/praise-stigma-by-externality-knowledge.tex","reduced_form","frozen","presentations/rf-tables/main-specs/new-praise-stigma-by-externality-knowledge.tex","replication/paper-artifacts/rf-tables/praise-stigma-by-externality-knowledge.tex","6151cf72b81a83cfdf63e42e94479808387a17158d5801b530d9ca3d3c15b9a2","auxiliary-paper","Frozen current paper-approved artifact."
"rf-tables/main-specs/travel-time-tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/travel-time-tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/incentive-check-tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/incentive-check-tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"tables/baseline-demo-deworming-knowledge-balance-table.tex","balance","generated","presentations/tables/baseline-demo-deworming-knowledge-balance-table.tex","","","balance","Regenerated in the isolated Make/targets build."
"_sample-consort.tex","manual_or_static","frozen","./presentations/sample-flow-diagram/_sample-consort.tex","replication/paper-artifacts/_sample-consort.tex","c8a54088066e4d15a0718d6370aa9bbf4305bc125f4087cf3533ae285d336658","paper-assets","Frozen current paper-approved artifact."
"rf-tables/main-specs/incentive-drawback-tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/incentive-drawback-tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_cts_fob_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_cts_fob_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_discrete_belief_decomposition_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_discrete_belief_decomposition_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/fob_lee_bounds_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/fob_lee_bounds_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_discrete_sob_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_discrete_sob_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/predicted_endline_deworm_takeup_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/predicted_endline_deworm_takeup_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_dist_cts_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_dist_cts_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/het-tes.tex","reduced_form","generated","presentations/rf-tables/het-tes.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/incentive-control-sms-te.tex","reduced_form","generated","presentations/rf-tables/main-specs/incentive-control-sms-te.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/rf_externality_knowledge_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/rf_externality_knowledge_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"rf-tables/main-specs/beliefs_relationships_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/beliefs_relationships_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"tables/wtp-summ-table.tex","structural_postprocess","frozen","presentations/tables/wtp-summ-table.tex","replication/paper-artifacts/tables/wtp-summ-table.tex","caa7c26aa838dd42ce8ef3f32faa35fc99de4b47b91655b1d9bc492273e5d98a","structural-postprocess","Frozen current paper-approved artifact."
"rf-tables/main-specs/preference_for_bracelet_full_sample_FLIPPED_spec_tbl.tex","reduced_form","generated","presentations/rf-tables/main-specs/preference_for_bracelet_full_sample_FLIPPED_spec_tbl.tex","","","reduced-form","Regenerated in the isolated Make/targets build."
"tables/all-structural-parameters-table-fit-1-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB.tex","structural_postprocess","frozen","all-structural-parameters-table-fit-1-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB.tex","replication/paper-artifacts/tables/all-structural-parameters-table-fit-1-STRUCTURAL_LINEAR_U_SHOCKS_PHAT_MU_REP_FOB.tex","28aa6d61477820db716c4cca4affeaf29bb3ac6bbe68a17a5ea417eceb1fca87","structural-postprocess","Frozen current paper-approved artifact."
"tables/fob-beliefs-table.tex","structural_postprocess","frozen","presentations/tables/fob-beliefs-table.tex","replication/paper-artifacts/tables/fob-beliefs-table.tex","a686a47c6cee4f72fddc46a161dd8ecda92a5c8bb571a337033d83da58b4354a","structural-postprocess","Frozen current paper-approved artifact."
"tables/struct-overall-te-table.tex","structural_postprocess","frozen","presentations/tables/struct-overall-te-table.tex","replication/paper-artifacts/tables/struct-overall-te-table.tex","4ddbce00b86f77afb57ddb462d1453ceb44875a56a60d99447daa390a9d03f82","structural-postprocess","Frozen current paper-approved artifact."
"tables/private-signal-te-table.tex","structural_postprocess","frozen","presentations/tables/private-signal-te-table.tex","replication/paper-artifacts/tables/private-signal-te-table.tex","4102437f305d6d38c188cfef797ab2a8e9dc234a9b970f95947afbdbcf796941","structural-postprocess","Frozen current paper-approved artifact."
"tables/fob-disagg-beliefs-table.tex","structural_postprocess","frozen","presentations/tables/fob-disagg-beliefs-table.tex","replication/paper-artifacts/tables/fob-disagg-beliefs-table.tex","d23d61d76c2c5cbc37e491e4dacdd04b7ac8fff574086c9557b1c788ddddc2a6","structural-postprocess","Frozen current paper-approved artifact."
"tables/density_table.tex","structural_postprocess","frozen","density_table.tex","replication/paper-artifacts/tables/density_table.tex","5517b87facc6079d35142fa27bcef553ac482d012f5ddb4b348a588623124158","structural-postprocess","Frozen current paper-approved artifact."
"tables/manual-optim-summ-table.tex","optimal_policy","frozen","presentations/tables/manual-optim-summ-table.tex","replication/paper-artifacts/tables/manual-optim-summ-table.tex","a21937c1524d2280eeb3f0e9d1f2ab34fb976ae3fd63ca25c25089444c0a9df1","optimal-policy policy-tables","Frozen current paper-approved artifact."
"anchor-diagram.tex","manual_or_static","frozen","./replication/paper-artifacts/anchor-diagram.tex","replication/paper-artifacts/anchor-diagram.tex","8814531d7af60b3afefcba452281de5e2c75b93edaca1c9fd4e1ed5f2677ab85","paper-assets","Reconstructed from the manuscript design description; review visually."
"tables/indiv-dist-community-fp-indiv-vis-robust-struct-overall-te-table.tex","structural_postprocess","frozen","presentations/tables/indiv-dist-community-fp-indiv-vis-robust-struct-overall-te-table.tex","replication/paper-artifacts/tables/indiv-dist-community-fp-indiv-vis-robust-struct-overall-te-table.tex","d223679e6d5f7609894ea769b5c54097fe1b5eaf9748925300e27cfcf533fbc6","structural-postprocess","Frozen current paper-approved artifact."
"tables/indiv-dist-indiv-fp-robust-struct-overall-te-table.tex","structural_postprocess","frozen","presentations/tables/indiv-dist-indiv-fp-robust-struct-overall-te-table.tex","replication/paper-artifacts/tables/indiv-dist-indiv-fp-robust-struct-overall-te-table.tex","d9938ea0faa84f6d9c3e158cd877d637f4ec05ad0808e502c59143df948ed61a","structural-postprocess","Frozen current paper-approved artifact."
"tables/struct-robustness-nooutliers-overall-te-table.tex","structural_postprocess","frozen","presentations/tables/struct-robustness-nooutliers-overall-te-table.tex","replication/paper-artifacts/tables/struct-robustness-nooutliers-overall-te-table.tex","162a9d3c8a689e903d9413b1e5ce92e7b1caa5bcd7542b395f0f8fcab90270e1","structural-postprocess","Frozen current paper-approved artifact."
