specification,treatment,median,q025,q975,Pr(M<1),Pr(M>1),draws,finite_draw_share
F3 two-stage conditional,Bracelet,1.036785,0.9986193,1.1314544999999998,0.0375,0.959375,1600,1
F3 two-stage conditional,Calendar,1.03787,0.99536785,1.1491642499999999,0.0525,0.94625,1600,1
F3 two-stage conditional,Control,1.0994549999999998,0.9990259749999999,1.3942539999999999,0.030625,0.9675,1600,1
F3 two-stage conditional,Ink,1.02263,0.9948312500000001,1.1008525,0.061875,0.935,1600,1
Tight multinomial,Bracelet,0.3432895,-0.042132605,0.806744375,0.9993638676844784,6.361323155216285e-4,1600,0.9825
Tight multinomial,Calendar,0.9272485,0.717829,1.0911855,0.8136132315521628,0.18638676844783714,1600,0.9825
Tight multinomial,Control,1.054605,0.8408418750000001,1.2925035,0.30470737913486007,0.69529262086514,1600,0.9825
Tight multinomial,Ink,0.8604305,0.660256575,1.0078414999999998,0.9662849872773537,0.03371501272264631,1600,0.9825
U3 two-stage unconditional,Bracelet,1.003285,0.99854835,1.0332872499999999,0.0725,0.925,1600,1
U3 two-stage unconditional,Calendar,1.00625,0.997111075,1.0488412500000002,0.07125,0.9275,1600,1
U3 two-stage unconditional,Control,1.00891,0.994251225,1.0948607499999998,0.093125,0.90625,1600,1
U3 two-stage unconditional,Ink,1.0048650000000001,0.999826,1.03669825,0.031875,0.96625,1600,1
