specification,treatment,distance,true_takeup_state,p_yes,p_no,p_dont_know,p_unrecognized,recognition,sensitivity,specificity,information_factor
Tight multinomial,Control,500,Nontaker,0.4526595,0.276123,0.2673805,0,0.412921,0.6859424999999999,0.276123,0.0568054
Tight multinomial,Control,500,Taker,0.6859424999999999,0.135428,0.1769325,0,0.511204,0.6859424999999999,0.276123,0.0568054
Tight multinomial,Control,1500,Nontaker,0.32692200000000005,0.33577599999999996,0.3362535,0,0.44233449999999996,0.572665,0.33577599999999996,0.05423785
Tight multinomial,Control,1500,Taker,0.572665,0.1798265,0.246199,0,0.5136135,0.572665,0.33577599999999996,0.05423785
Tight multinomial,Control,2500,Nontaker,0.220277,0.38167249999999997,0.3965865,0,0.47342300000000004,0.44787200000000005,0.38167249999999997,0.038785299999999995
Tight multinomial,Control,2500,Taker,0.44787200000000005,0.2239185,0.32344399999999995,0,0.514551,0.44787200000000005,0.38167249999999997,0.038785299999999995
Tight multinomial,Ink,500,Nontaker,0.5184275,0.2985955,0.1823415,0,0.42115899999999995,0.6259135,0.2985955,0.01398255
Tight multinomial,Ink,500,Taker,0.6259135,0.202546,0.1708085,0,0.543651,0.6259135,0.2985955,0.01398255
Tight multinomial,Ink,1500,Nontaker,0.444326,0.345754,0.210111,0,0.448966,0.6230355,0.345754,0.0277612
Tight multinomial,Ink,1500,Taker,0.6230355,0.199812,0.17650100000000002,0,0.555822,0.6230355,0.345754,0.0277612
Tight multinomial,Ink,2500,Nontaker,0.3702875,0.391837,0.236408,0,0.47748650000000004,0.617557,0.391837,0.037585850000000004
Tight multinomial,Ink,2500,Taker,0.617557,0.19654749999999999,0.1830505,0,0.5673185000000001,0.617557,0.391837,0.037585850000000004
Tight multinomial,Calendar,500,Nontaker,0.554328,0.2230895,0.221564,0,0.445302,0.659392,0.2230895,0.01496215
Tight multinomial,Calendar,500,Taker,0.659392,0.14122,0.19866450000000002,0,0.543164,0.659392,0.2230895,0.01496215
Tight multinomial,Calendar,1500,Nontaker,0.43646850000000004,0.277196,0.28596750000000004,0,0.418174,0.5839909999999999,0.277196,0.023577
Tight multinomial,Calendar,1500,Taker,0.5839909999999999,0.16229949999999999,0.2518955,0,0.5250885,0.5839909999999999,0.277196,0.023577
Tight multinomial,Calendar,2500,Nontaker,0.3263025,0.32364550000000003,0.3478495,0,0.3907865,0.5037945,0.32364550000000003,0.028165
Tight multinomial,Calendar,2500,Taker,0.5037945,0.181396,0.3110225,0,0.506813,0.5037945,0.32364550000000003,0.028165
Tight multinomial,Bracelet,500,Nontaker,0.6434565,0.21881,0.1372855,0,0.37728700000000004,0.696721,0.21881,0.0105412
Tight multinomial,Bracelet,500,Taker,0.696721,0.1457025,0.1571705,0,0.48989499999999997,0.696721,0.21881,0.0105412
Tight multinomial,Bracelet,1500,Nontaker,0.48078600000000005,0.338101,0.179855,0,0.459939,0.7089905,0.338101,0.0550191
Tight multinomial,Bracelet,1500,Taker,0.7089905,0.1503645,0.139895,0,0.556841,0.7089905,0.338101,0.0550191
Tight multinomial,Bracelet,2500,Nontaker,0.32173450000000003,0.4665735,0.21018599999999998,0,0.5425964999999999,0.717943,0.4665735,0.1502075
