"draw","replicate","scenario_id","scenario","scenario_label","status","solver_status","elapsed_seconds","n_pot","mean_demand","mean_distance","achieved_welfare","target_welfare"
1,1,0,"experimental","Control","complete",NA,NA,144,0.350853367264253,1176.2046829448,50.5228848860524,47.1206914684204
2,2,0,"experimental","Control","complete",NA,NA,144,0.316714582393552,1176.2046829448,45.6068998646715,47.1206914684204
3,3,0,"experimental","Control","complete",NA,NA,144,0.373548035777491,1176.2046829448,53.7909171519587,47.1206914684204
4,4,0,"experimental","Control","complete",NA,NA,144,0.357055460488413,1176.2046829448,51.4159863103314,47.1206914684204
5,5,0,"experimental","Control","complete",NA,NA,144,0.316725171607358,1176.2046829448,45.6084247114595,47.1206914684204
6,6,0,"experimental","Control","complete",NA,NA,144,0.348356970607776,1176.2046829448,50.1634037675197,47.1206914684204
7,7,0,"experimental","Control","complete",NA,NA,144,0.340355733891976,1176.2046829448,49.0112256804446,47.1206914684204
8,8,0,"experimental","Control","complete",NA,NA,144,0.316415969501197,1176.2046829448,45.5638996081724,47.1206914684204
9,9,0,"experimental","Control","complete",NA,NA,144,0.326406330349535,1176.2046829448,47.0025115703331,47.1206914684204
10,10,0,"experimental","Control","complete",NA,NA,144,0.3590776941971,1176.2046829448,51.7071879643824,47.1206914684204
11,11,0,"experimental","Control","complete",NA,NA,144,0.334543893401001,1176.2046829448,48.1743206497441,47.1206914684204
12,12,0,"experimental","Control","complete",NA,NA,144,0.317188009983015,1176.2046829448,45.6750734375542,47.1206914684204
13,13,0,"experimental","Control","complete",NA,NA,144,0.314952527684714,1176.2046829448,45.3531639865988,47.1206914684204
14,14,0,"experimental","Control","complete",NA,NA,144,0.328807130452681,1176.2046829448,47.348226785186,47.1206914684204
15,15,0,"experimental","Control","complete",NA,NA,144,0.309636113910763,1176.2046829448,44.5876004031499,47.1206914684204
16,16,0,"experimental","Control","complete",NA,NA,144,0.313643477834543,1176.2046829448,45.1646608081742,47.1206914684204
17,17,0,"experimental","Control","complete",NA,NA,144,0.331556562744649,1176.2046829448,47.7441450352294,47.1206914684204
18,18,0,"experimental","Control","complete",NA,NA,144,0.306551671934155,1176.2046829448,44.1434407585184,47.1206914684204
19,19,0,"experimental","Control","complete",NA,NA,144,0.310603176140899,1176.2046829448,44.7268573642894,47.1206914684204
20,20,0,"experimental","Control","complete",NA,NA,144,0.33996785659462,1176.2046829448,48.9553713496253,47.1206914684204
21,21,0,"experimental","Control","complete",NA,NA,144,0.329859652948698,1176.2046829448,47.4997900246125,47.1206914684204
22,22,0,"experimental","Control","complete",NA,NA,144,0.368936071785286,1176.2046829448,53.1267943370811,47.1206914684204
23,23,0,"experimental","Control","complete",NA,NA,144,0.327334181565146,1176.2046829448,47.136122145381,47.1206914684204
24,24,0,"experimental","Control","complete",NA,NA,144,0.341416123600846,1176.2046829448,49.1639217985218,47.1206914684204
25,25,0,"experimental","Control","complete",NA,NA,144,0.315642016985907,1176.2046829448,45.4524504459707,47.1206914684204
26,26,0,"experimental","Control","complete",NA,NA,144,0.323675951280546,1176.2046829448,46.6093369843986,47.1206914684204
27,27,0,"experimental","Control","complete",NA,NA,144,0.351411090728175,1176.2046829448,50.6031970648572,47.1206914684204
