"model_id","model_label","scenario_id","scenario","scenario_label","n_pot_estimate","n_pot_low","n_pot_high","takeup_estimate","takeup_low","takeup_high","distance_estimate","distance_low","distance_high","draws","target_infeasible_share","equilibrium_undefined_share"
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",0,"experimental","Experimental allocation",144,144,144,0.326876434650734,0.290597681914706,0.372715286377476,1.1762046829448,1.1762046829448,1.1762046829448,210,0,0
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",1,"control","Control",109,94,126,0.327827020698146,0.327248811264758,0.329481923425518,1.25663195163583,0.92125742360553,1.58737062179042,210,0,0
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",2,"bracelet","Bracelet",81,76,106.55,0.327974720074376,0.327286437430741,0.368064443103771,1.91376762378168,1.29785085996956,2.44296033529904,210,0,0
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",3,"static-control","Control social image returns at 0.5km",97,76,119.775,0.327770429042285,0.32726030047632,0.329260261617965,1.51688521047863,1.02732723080751,2.22901357355207,210,0,0
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",4,"static-bracelet","Bracelet social image returns at 0.5km",88,76,117.55,0.327914341259354,0.32725662511496,0.345103041491361,1.73494721902194,1.07290791884391,2.41741729106041,210,0,0
"baseline-cluster-bootstrap","Baseline model (cluster bootstrap)",5,"suppress-reputation","No social image returns",144,144,144,0.0821491637132475,0.0170771313035331,0.212572285223674,0.643364579263291,0.643364579263291,0.643364579263291,210,1,0
"correct-observability","Correct classification",0,"experimental","Experimental allocation",144,144,144,0.331929973948799,0.314176130328044,0.350265054751782,1.1762046829448,1.1762046829448,1.1762046829448,800,0,0
"correct-observability","Correct classification",1,"control","Control",107,100,114,0.327921076853591,0.3272523569661,0.329464559300318,1.29419061140515,1.14039326101517,1.43799399141487,800,0,0
"correct-observability","Correct classification",2,"bracelet","Bracelet",89,76,104,0.32773970686515,0.32725076216222,0.328556579642146,1.70213090287338,1.34757164913743,2.1470118885809,800,0,0
"correct-observability","Correct classification",3,"static-control","Control social image returns at 0.5km",93,77,105.025,0.327768003734445,0.327260385169424,0.328683804043877,1.60155763389057,1.32313520441146,2.04851298002101,800,0,0
"correct-observability","Correct classification",4,"static-bracelet","Bracelet social image returns at 0.5km",92,76,109,0.327793322698969,0.32725557732489,0.328808664365515,1.62664872750077,1.23807571948886,2.12126880423564,800,0,0
"correct-observability","Correct classification",5,"suppress-reputation","No social image returns",144,144,144,0.118876628135642,0.0407626092995758,0.221538763156843,0.643364579263291,0.643364579263291,0.643364579263291,800,1,0
"second-order-observability","Perceived observability (second order)",0,"experimental","Experimental allocation",144,144,144,0.361477677065461,0.334090285062468,0.398724566627845,1.1762046829448,1.1762046829448,1.1762046829448,800,0,0
"second-order-observability","Perceived observability (second order)",1,"control","Control",98,89,107,0.328046005533404,0.327269720041443,0.329408163113945,1.48336445372949,1.29121191364605,1.7054614757508,800,0,0
"second-order-observability","Perceived observability (second order)",2,"bracelet","Bracelet",76,76,86,0.329928642275477,0.327303806292729,0.394245203208756,2.35606214798925,1.77701063709118,2.44296033529904,800,0,0
"second-order-observability","Perceived observability (second order)",3,"static-control","Control social image returns at 0.5km",84,76,98,0.3279400386106,0.327276486533706,0.33014609030405,1.84458690020618,1.49697210632317,2.37104966577111,800,0,0
"second-order-observability","Perceived observability (second order)",4,"static-bracelet","Bracelet social image returns at 0.5km",77,76,92,0.328041268606476,0.327283308365449,0.356919564415668,2.05963129576299,1.62662105495691,2.44296033529904,800,0,0
"second-order-observability","Perceived observability (second order)",5,"suppress-reputation","No social image returns",144,144,144,0.0798337742378319,0.0206297228614341,0.192330714735964,0.643364579263291,0.643364579263291,0.643364579263291,800,1,0
"grouped-lambda","Any-signal/no-signal social image weight",0,"experimental","Experimental allocation",144,144,144,0.330868075830286,0.312195994256415,0.349507421959725,1.1762046829448,1.1762046829448,1.1762046829448,1600,0,0
"grouped-lambda","Any-signal/no-signal social image weight",1,"control","Control",108,102,116,0.327891432679124,0.327245549605914,0.32952801938313,1.26759050847104,1.11673585751055,1.40803346057894,1600,0,0
"grouped-lambda","Any-signal/no-signal social image weight",2,"bracelet","Bracelet",79,76,93,0.327863120841546,0.327260229671376,0.332381104813769,1.97712953392959,1.60870123388044,2.42665355565754,1600,0,0
"grouped-lambda","Any-signal/no-signal social image weight",3,"static-control","Control social image returns at 0.5km",97,86,109,0.327771636045094,0.32725280726481,0.328800706796816,1.50311137984206,1.24322762090164,1.78656344390651,1600,0,0
"grouped-lambda","Any-signal/no-signal social image weight",4,"static-bracelet","Bracelet social image returns at 0.5km",87,76,101,0.32788404396028,0.327260609825882,0.32885082170385,1.762148855865,1.430609060023,2.15757925442832,1600,0,0
"grouped-lambda","Any-signal/no-signal social image weight",5,"suppress-reputation","No social image returns",144,144,144,0.118894316287694,0.0284815014651721,0.267757968108817,0.643364579263291,0.643364579263291,0.643364579263291,1600,0.998125,0
"arm-lambda","Treatment-specific social image weight",0,"experimental","Experimental allocation",144,144,144,0.331915876962324,0.313231887540641,0.351305923605129,1.1762046829448,1.1762046829448,1.1762046829448,1600,0,0
"arm-lambda","Treatment-specific social image weight",1,"control","Control",108,101,115,0.327913207065038,0.327244066804521,0.329482100307914,1.27331538694434,1.12010897922371,1.41620746161446,1600,0,0
"arm-lambda","Treatment-specific social image weight",2,"bracelet","Bracelet",83,76,137.025,0.327876166694092,0.327243303945773,0.385321790968269,1.85744013780229,0.741613003650711,2.44296033529904,1600,0.013125,0
"arm-lambda","Treatment-specific social image weight",3,"static-control","Control social image returns at 0.5km",97,85,108,0.327808633156614,0.327251139058285,0.328915139618507,1.50441216983143,1.25872876045419,1.80190022554926,1600,0,0
